Date,DateValue,Open,High,Low,Close,Adj Close,Volume
2011-06-03,40697,583.0,587.5,575.0,576.049988,473.642975,1367808.0
2011-06-06,40700,570.0,584.0,570.0,582.174988,478.67923,1357074.0
2011-06-07,40701,581.5,591.575012,579.0,589.650024,484.8255,1837442.0
2011-06-08,40702,585.950012,592.5,581.75,590.700012,489.005829,2127670.0
2011-06-09,40703,587.5,596.900024,587.5,593.174988,491.05484,2693966.0
2011-06-10,40704,593.275024,598.75,592.549988,594.599976,492.234711,3774550.0
2011-06-13,40707,594.599976,595.25,586.275024,587.650024,486.481079,3229400.0
2011-06-14,40708,589.0,597.450012,589.0,595.525024,493.000305,2125782.0
2011-06-15,40709,593.0,602.5,590.625,592.125,490.185577,2812382.0
2011-06-16,40710,591.5,592.950012,574.125,575.575012,476.484894,2337520.0
2011-06-17,40711,577.5,578.5,552.0,554.599976,459.12085,3788146.0
2011-06-20,40714,557.5,559.5,529.0,534.650024,442.605377,5310408.0
2011-06-21,40715,537.5,555.349976,531.599976,553.375,458.10672,3425946.0
2011-06-22,40716,558.0,558.450012,540.0,541.75,448.483002,3570834.0
2011-06-23,40717,540.900024,550.5,535.049988,548.5,454.071045,2428236.0
2011-06-24,40718,550.0,570.375,549.5,568.875,470.938263,4151588.0
2011-06-27,40721,561.0,577.349976,561.0,575.299988,476.257233,3125218.0
2011-06-28,40722,580.0,581.0,567.825012,577.0,477.66452,2133332.0
2011-06-29,40723,577.349976,589.450012,577.349976,584.924988,484.225128,2958704.0
2011-06-30,40724,584.900024,596.0,583.5,592.099976,490.164856,5172916.0
2011-07-01,40725,599.0,599.0,589.849976,595.950012,493.352112,1920840.0
2011-07-04,40728,596.5,600.0,590.0,592.849976,490.785858,1603734.0
2011-07-05,40729,594.900024,595.5,586.700012,589.724976,488.198761,2061136.0
2011-07-06,40730,589.125,596.450012,585.849976,591.400024,489.585449,1490178.0
2011-07-07,40731,591.549988,600.0,591.549988,597.950012,495.007782,2602634.0
2011-07-08,40732,598.0,602.5,584.625,585.825012,484.970367,3412060.0
2011-07-11,40735,585.0,588.900024,573.299988,578.325012,478.761444,1822504.0
2011-07-12,40736,567.849976,574.400024,556.049988,572.674988,474.084015,4079404.0
2011-07-13,40737,575.0,584.0,565.5,574.525024,475.615753,3952600.0
2011-07-14,40738,575.0,579.299988,559.549988,561.849976,465.12265,6937844.0
2011-07-15,40739,584.0,588.950012,570.549988,573.025024,474.373901,7279700.0
2011-07-18,40742,574.0,576.0,561.150024,562.525024,465.681427,3125208.0
2011-07-19,40743,560.799988,574.075012,560.125,570.025024,471.89032,2195292.0
2011-07-20,40744,575.0,575.900024,562.5,566.224976,468.744446,2807746.0
2011-07-21,40745,566.0,566.25,560.025024,561.275024,464.646667,1850624.0
2011-07-22,40746,563.375,570.650024,563.25,566.700012,469.137787,2090442.0
2011-07-25,40749,567.5,572.0,561.575012,569.950012,471.828278,4740714.0
2011-07-26,40750,569.900024,575.974976,563.625,572.325012,473.794464,3968722.0
2011-07-27,40751,574.474976,577.325012,569.075012,573.575012,474.829224,2024290.0
2011-07-28,40752,570.0,572.450012,560.150024,564.775024,468.769989,4093814.0
2011-07-29,40753,566.5,571.0,560.825012,568.5,471.861908,1719138.0
2011-08-01,40756,571.200012,574.950012,562.549988,567.625,471.135498,1982346.0
2011-08-02,40757,565.25,567.0,561.125,565.325012,469.226593,2025292.0
2011-08-03,40758,560.0,562.849976,547.674988,555.174988,460.801971,3064246.0
2011-08-04,40759,555.025024,559.75,545.549988,547.924988,454.784363,3049294.0
2011-08-05,40760,536.575012,537.0,514.0,528.974976,439.055634,5269388.0
2011-08-08,40763,505.600006,516.674988,498.299988,502.674988,417.226288,6549306.0
2011-08-09,40764,482.5,492.600006,473.850006,482.399994,400.397797,8159270.0
2011-08-10,40765,499.5,506.0,486.899994,492.024994,408.386719,5949080.0
2011-08-11,40766,490.0,491.700012,481.5,489.174988,406.021118,2900464.0
2011-08-12,40767,495.274994,495.950012,468.75,473.575012,393.073029,4169084.0
2011-08-16,40771,483.5,489.174988,478.024994,486.799988,404.049835,2983568.0
2011-08-17,40772,487.25,504.700012,485.0,499.950012,414.964569,4557892.0
2011-08-18,40773,502.950012,504.649994,479.0,481.174988,399.381073,3619896.0
2011-08-19,40774,471.5,473.475006,452.5,464.475006,385.519928,5443614.0
2011-08-22,40777,464.5,465.0,451.0,459.024994,380.996246,3528922.0
2011-08-23,40778,460.424988,494.0,460.174988,490.799988,407.369904,4874670.0
2011-08-24,40779,489.0,489.0,477.5,481.299988,399.484894,3194790.0
